Artist | Song | Album | Year
----------------------------
Drake | Papi’s Home | Certified Lover Boy | 2021
Drake, Lil Baby | Girls Want Girls (with Lil Baby) | Certified Lover Boy | 2021
Drake, Lil Durk, GIVĒON | In The Bible (with Lil Durk & Giveon) | Certified Lover Boy | 2021
Drake, JAY-Z | Love All (with JAY-Z) | Certified Lover Boy | 2021
Drake | Champagne Poetry | Certified Lover Boy | 2021
Drake, Travis Scott | Fair Trade (with Travis Scott) | Certified Lover Boy | 2021
Drake, Future, Young Thug | Way 2 Sexy (with Future & Young Thug) | Certified Lover Boy | 2021
Drake | TSU | Certified Lover Boy | 2021
Khlaw | Miss Me - Slowed | Miss Me - Slowed | 2021
Drake, Future | N 2 Deep | Certified Lover Boy | 2021
Drake | Pipe Down | Certified Lover Boy | 2021
Playboi Carti | Foreign | Die Lit | 2018
Drake, Yebba | Yebba’s Heartbreak | Certified Lover Boy | 2021
Drake | No Friends In The Industry | Certified Lover Boy | 2021
Drake, 21 Savage, Project Pat | Knife Talk (with 21 Savage ft. Project Pat) | Certified Lover Boy | 2021
Drake | 7am On Bridle Path | Certified Lover Boy | 2021
Drake | Race My Mind | Certified Lover Boy | 2021
Drake, Tems | Fountains (with Tems) | Certified Lover Boy | 2021
Drake, Ty Dolla $ign | Get Along Better | Certified Lover Boy | 2021
Drake, Lil Wayne, Rick Ross | You Only Live Twice (with Lil Wayne & Rick Ross) | Certified Lover Boy | 2021
Tay-K | M.... She Wrote | #SantanaWorld (+) | 2017
Drake, Kid Cudi | IMY2 (with Kid Cudi) | Certified Lover Boy | 2021
Drake | F*****g Fans | Certified Lover Boy | 2021
Drake | The Remorse | Certified Lover Boy | 2021
Kash Kxrti, yvngxchris | Foolin Around | Foolin Around | 2021
Major Lazer, DJ Snake, MØ | Lean On (feat. MØ & DJ Snake) - Dillon Francis x Jauz Remix | Lean On (Remixes) [feat. MØ & DJ Snake] - EP | 2015
Ariana Grande, Nicki Minaj | Side To Side | Dangerous Woman | 2016
DJ Snake, Justin Bieber | Let Me Love You | Encore | 2016
Sia, Kendrick Lamar | The Greatest | The Greatest | 2016
Martin Garrix, Bebe Rexha | In the Name of Love | In the Name of Love | 2016
Maroon 5, Kendrick Lamar | Don't Wanna Know | Don't Wanna Know | 2016
The Chainsmokers, Phoebe Ryan | All We Know | All We Know | 2016
Hailee Steinfeld, Grey, Zedd | Starving | Starving | 2016
Jonas Blue, JP Cooper | Perfect Strangers | Perfect Strangers | 2016
Zara Larsson | Ain't My Fault | Ain't My Fault | 2016
Lil Baby, Drake | Yes Indeed | Harder Than Ever | 2018
Playboi Carti | Sky | Whole Lotta Red | 2020
