Artist | Song | Album | Year | Link
-----------------------------------
Drake | Papi’s Home | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Papi%27s+Home+Drake
Drake, Lil Baby | Girls Want Girls (with Lil Baby) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Girls+Want+Girls+%28with+Lil+Baby%29+Drake%2C+Lil+Baby
Drake, Lil Durk, GIVĒON | In The Bible (with Lil Durk & Giveon) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=In+The+Bible+%28with+Lil+Durk+%26+Giveon%29+Drake%2C+Lil+Durk%2C+GIV%C4%92ON
Drake, JAY-Z | Love All (with JAY-Z) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Love+All+%28with+JAY-Z%29+Drake%2C+JAY-Z
Drake | Champagne Poetry | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Champagne+Poetry+Drake
Drake, Travis Scott | Fair Trade (with Travis Scott) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Fair+Trade+%28with+Travis+Scott%29+Drake%2C+Travis+Scott
Drake, Future, Young Thug | Way 2 Sexy (with Future & Young Thug) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Way+2+Sexy+%28with+Future+%26+Young+Thug%29+Drake%2C+Future%2C+Young+Thug
Drake | TSU | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=TSU+Drake
Khlaw | Miss Me - Slowed | Miss Me - Slowed | 2021 | https://www.youtube.com/results?search_query=Miss+Me+-+Slowed+Khlaw
Drake, Future | N 2 Deep | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=N+2+Deep+Drake%2C+Future
Drake | Pipe Down | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Pipe+Down+Drake
Playboi Carti | Foreign | Die Lit | 2018 | https://www.youtube.com/results?search_query=Foreign+Playboi+Carti
Drake, Yebba | Yebba’s Heartbreak | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Yebba%27s+Heartbreak+Drake%2C+Yebba
Drake | No Friends In The Industry | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=No+Friends+In+The+Industry+Drake
Drake, 21 Savage, Project Pat | Knife Talk (with 21 Savage ft. Project Pat) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Knife+Talk+%28with+21+Savage+ft.+Project+Pat%29+Drake%2C+21+Savage%2C+Project+Pat
Drake | 7am On Bridle Path | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=7am+On+Bridle+Path+Drake
Drake | Race My Mind | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Race+My+Mind+Drake
Drake, Tems | Fountains (with Tems) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Fountains+%28with+Tems%29+Drake%2C+Tems
Drake, Ty Dolla $ign | Get Along Better | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=Get+Along+Better+Drake%2C+Ty+Dolla+%24ign
Drake, Lil Wayne, Rick Ross | You Only Live Twice (with Lil Wayne & Rick Ross) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=You+Only+Live+Twice+%28with+Lil+Wayne+%26+Rick+Ross%29+Drake%2C+Lil+Wayne%2C+Rick+Ross
Tay-K | M.... She Wrote | #SantanaWorld (+) | 2017 | https://www.youtube.com/results?search_query=M....+She+Wrote+Tay-K
Drake, Kid Cudi | IMY2 (with Kid Cudi) | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=IMY2+%28with+Kid+Cudi%29+Drake%2C+Kid+Cudi
Drake | F*****g Fans | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=F%2A%2A%2A%2A%2Ag+Fans+Drake
Drake | The Remorse | Certified Lover Boy | 2021 | https://www.youtube.com/results?search_query=The+Remorse+Drake
Kash Kxrti, yvngxchris | Foolin Around | Foolin Around | 2021 | https://www.youtube.com/results?search_query=Foolin+Around+Kash+Kxrti%2C+yvngxchris
Major Lazer, DJ Snake, MØ | Lean On (feat. MØ & DJ Snake) - Dillon Francis x Jauz Remix | Lean On (Remixes) [feat. MØ & DJ Snake] - EP | 2015 | https://www.youtube.com/results?search_query=Lean+On+%28feat.+M%C3%98+%26+DJ+Snake%29+-+Dillon+Francis+x+Jauz+Remix+Major+Lazer%2C+DJ+Snake%2C+M%C3%98
Ariana Grande, Nicki Minaj | Side To Side | Dangerous Woman | 2016 | https://www.youtube.com/results?search_query=Side+To+Side+Ariana+Grande%2C+Nicki+Minaj
DJ Snake, Justin Bieber | Let Me Love You | Encore | 2016 | https://www.youtube.com/results?search_query=Let+Me+Love+You+DJ+Snake%2C+Justin+Bieber
Sia, Kendrick Lamar | The Greatest | The Greatest | 2016 | https://www.youtube.com/results?search_query=The+Greatest+Sia%2C+Kendrick+Lamar
Martin Garrix, Bebe Rexha | In the Name of Love | In the Name of Love | 2016 | https://www.youtube.com/results?search_query=In+the+Name+of+Love+Martin+Garrix%2C+Bebe+Rexha
Maroon 5, Kendrick Lamar | Don't Wanna Know | Don't Wanna Know | 2016 | https://www.youtube.com/results?search_query=Don%27t+Wanna+Know+Maroon+5%2C+Kendrick+Lamar
The Chainsmokers, Phoebe Ryan | All We Know | All We Know | 2016 | https://www.youtube.com/results?search_query=All+We+Know+The+Chainsmokers%2C+Phoebe+Ryan
Hailee Steinfeld, Grey, Zedd | Starving | Starving | 2016 | https://www.youtube.com/results?search_query=Starving+Hailee+Steinfeld%2C+Grey%2C+Zedd
Jonas Blue, JP Cooper | Perfect Strangers | Perfect Strangers | 2016 | https://www.youtube.com/results?search_query=Perfect+Strangers+Jonas+Blue%2C+JP+Cooper
Zara Larsson | Ain't My Fault | Ain't My Fault | 2016 | https://www.youtube.com/results?search_query=Ain%27t+My+Fault+Zara+Larsson
Lil Baby, Drake | Yes Indeed | Harder Than Ever | 2018 | https://www.youtube.com/results?search_query=Yes+Indeed+Lil+Baby%2C+Drake
Playboi Carti | Sky | Whole Lotta Red | 2020 | https://www.youtube.com/results?search_query=Sky+Playboi+Carti
1nonly, Ciscaux, Wassup Rocker | DANCE! | DANCE! | 2021 | https://www.youtube.com/results?search_query=DANCE%21+1nonly%2C+Ciscaux%2C+Wassup+Rocker
Izzamuzzic | Adventure | Adventure | 2016 | https://www.youtube.com/results?search_query=Adventure+Izzamuzzic
Ciscaux, 1nonly, lilbubblegum | hey! hi! hello! | hey! hi! hello! | 2021 | https://www.youtube.com/results?search_query=hey%21+hi%21+hello%21+Ciscaux%2C+1nonly%2C+lilbubblegum
Peggy Gou | Starry Night - Original Mix | Starry Night | 2019 | https://www.youtube.com/results?search_query=Starry+Night+-+Original+Mix+Peggy+Gou
PRXSXNT FXTURE | She Been Fxckxng | She Been Fxckxng | 2021 | https://www.youtube.com/results?search_query=She+Been+Fxckxng+PRXSXNT+FXTURE
Luciano | John Travolta | EXOT | 2020 | https://www.youtube.com/results?search_query=John+Travolta+Luciano
DJ Vibe Inc. & Max Barbaria | Crystal Castles in the Hood | The Adventures of DJ Vibe & Max Barbaria | 2007 | https://www.youtube.com/results?search_query=Crystal+Castles+in+the+Hood+DJ+Vibe+Inc.+%26+Max+Barbaria
BlocBoy JB, Drake | Look Alive (feat. Drake) | Look Alive (feat. Drake) | 2018 | https://www.youtube.com/results?search_query=Look+Alive+%28feat.+Drake%29+BlocBoy+JB%2C+Drake
Lykke Li | I Follow Rivers | Wounded Rhymes | 2011 | https://www.youtube.com/results?search_query=I+Follow+Rivers+Lykke+Li
Lil Tecca, Gunna | REPEAT IT (with Gunna) | REPEAT IT | 2021 | https://www.youtube.com/results?search_query=REPEAT+IT+%28with+Gunna%29+Lil+Tecca%2C+Gunna
Eslabon Armado, DannyLux | Jugaste y Sufrí | Corta Venas | 2020 | https://www.youtube.com/results?search_query=Jugaste+y+Sufr%C3%AD+Eslabon+Armado%2C+DannyLux
Xavier Goodman, Leslie Guardado, Hannah Bautista, AmayD | i'm loving your vibe | From My Drafts | 2021 | https://www.youtube.com/results?search_query=i%27m+loving+your+vibe+Xavier+Goodman%2C+Leslie+Guardado%2C+Hannah+Bautista%2C+AmayD
DJ Flex, Denise Belfon, Equiknoxx | Put Your Back In It (Afrobeat) | Put Your Back In It (Afrobeat) | 2019 | https://www.youtube.com/results?search_query=Put+Your+Back+In+It+%28Afrobeat%29+DJ+Flex%2C+Denise+Belfon%2C+Equiknoxx
Lil Uzi Vert | Baby Pluto | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Baby+Pluto+Lil+Uzi+Vert
Lil Uzi Vert | Lo Mein | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Lo+Mein+Lil+Uzi+Vert
Lil Uzi Vert | Silly Watch | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Silly+Watch+Lil+Uzi+Vert
Lil Uzi Vert | POP | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=POP+Lil+Uzi+Vert
Lil Uzi Vert | You Better Move | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=You+Better+Move+Lil+Uzi+Vert
Lil Uzi Vert | Homecoming | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Homecoming+Lil+Uzi+Vert
Lil Uzi Vert | I'm Sorry | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=I%27m+Sorry+Lil+Uzi+Vert
Lil Uzi Vert | Celebration Station | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Celebration+Station+Lil+Uzi+Vert
Lil Uzi Vert, WanMor | Bigger Than Life | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Bigger+Than+Life+Lil+Uzi+Vert%2C+WanMor
Lil Uzi Vert | Chrome Heart Tags | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Chrome+Heart+Tags+Lil+Uzi+Vert
Lil Uzi Vert | Bust Me | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Bust+Me+Lil+Uzi+Vert
Lil Uzi Vert, WanMor | Prices | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Prices+Lil+Uzi+Vert%2C+WanMor
Lil Uzi Vert, Syd | Urgency (feat. Syd) | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Urgency+%28feat.+Syd%29+Lil+Uzi+Vert%2C+Syd
Lil Uzi Vert | Venetia | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Venetia+Lil+Uzi+Vert
Lil Uzi Vert | Secure The Bag | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Secure+The+Bag+Lil+Uzi+Vert
Lil Uzi Vert | P2 | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=P2+Lil+Uzi+Vert
Lil Uzi Vert | Futsal Shuffle 2020 - Bonus Track | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=Futsal+Shuffle+2020+-+Bonus+Track+Lil+Uzi+Vert
Lil Uzi Vert | That Way - Bonus Track | Eternal Atake | 2020 | https://www.youtube.com/results?search_query=That+Way+-+Bonus+Track+Lil+Uzi+Vert
Lil Uzi Vert | Two® | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Two%C2%AE+Lil+Uzi+Vert
Lil Uzi Vert | 444+222 | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=444%2B222+Lil+Uzi+Vert
Lil Uzi Vert | Sauce It Up | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Sauce+It+Up+Lil+Uzi+Vert
Lil Uzi Vert | No Sleep Leak | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=No+Sleep+Leak+Lil+Uzi+Vert
Lil Uzi Vert, Oh Wonder | The Way Life Goes (feat. Oh Wonder) | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=The+Way+Life+Goes+%28feat.+Oh+Wonder%29+Lil+Uzi+Vert%2C+Oh+Wonder
Lil Uzi Vert | For Real | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=For+Real+Lil+Uzi+Vert
Lil Uzi Vert | Feelings Mutual | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Feelings+Mutual+Lil+Uzi+Vert
Lil Uzi Vert, Pharrell Williams | Neon Guts (feat. Pharrell Williams) | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Neon+Guts+%28feat.+Pharrell+Williams%29+Lil+Uzi+Vert%2C+Pharrell+Williams
Lil Uzi Vert | Early 20 Rager | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Early+20+Rager+Lil+Uzi+Vert
Lil Uzi Vert, The Weeknd | UnFazed (feat. The Weeknd) | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=UnFazed+%28feat.+The+Weeknd%29+Lil+Uzi+Vert%2C+The+Weeknd
Lil Uzi Vert | Pretty Mami | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Pretty+Mami+Lil+Uzi+Vert
Lil Uzi Vert | How to Talk | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=How+to+Talk+Lil+Uzi+Vert
Lil Uzi Vert | X | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=X+Lil+Uzi+Vert
Lil Uzi Vert | Malfunction | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Malfunction+Lil+Uzi+Vert
Lil Uzi Vert | Dark Queen | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=Dark+Queen+Lil+Uzi+Vert
Lil Uzi Vert | XO Tour Llif3 | Luv Is Rage 2 | 2017 | https://www.youtube.com/results?search_query=XO+Tour+Llif3+Lil+Uzi+Vert
Fousheé | Deep End | Deep End | 2020 | https://www.youtube.com/results?search_query=Deep+End+Foushe%C3%A9
Baby Keem | STATS | DIE FOR MY BITCH | 2019 | https://www.youtube.com/results?search_query=STATS+Baby+Keem
líue | Suffer With Me | Suffer With Me | 2019 | https://www.youtube.com/results?search_query=Suffer+With+Me+l%C3%ADue
Kiesza | Hideaway | Sound Of A Woman | 2014 | https://www.youtube.com/results?search_query=Hideaway+Kiesza
Spooki, Hentai Xander | In Heat. - Spooki Remix | In Heat. (Spooki Remix) | 2021 | https://www.youtube.com/results?search_query=In+Heat.+-+Spooki+Remix+Spooki%2C+Hentai+Xander
Spooki | Yuh | Yuh | 2020 | https://www.youtube.com/results?search_query=Yuh+Spooki
Céline Dion | I'm Alive | A New Day Has Come | 2002 | https://www.youtube.com/results?search_query=I%27m+Alive+C%C3%A9line+Dion
Sinoda, XANAKIN SKYWOK | Abrakadabra | Abrakadabra | 2020 | https://www.youtube.com/results?search_query=Abrakadabra+Sinoda%2C+XANAKIN+SKYWOK
XANAKIN SKYWOK | Party! | Party! | 2021 | https://www.youtube.com/results?search_query=Party%21+XANAKIN+SKYWOK
Mahmut Orhan, X-Kom, Sena Şener | Feel (feat. Sena Sener) - X-Kom Remix | Feel (feat. Sena Sener) [X-Kom Remix] | 2016 | https://www.youtube.com/results?search_query=Feel+%28feat.+Sena+Sener%29+-+X-Kom+Remix+Mahmut+Orhan%2C+X-Kom%2C+Sena+%C5%9Eener
CKay, ElGrandeToto | love nwantiti (feat. ElGrande Toto) - North African Remix | love nwantiti (feat. ElGrande Toto) [North African Remix] | 2020 | https://www.youtube.com/results?search_query=love+nwantiti+%28feat.+ElGrande+Toto%29+-+North+African+Remix+CKay%2C+ElGrandeToto
Calvin Harris | My Way | My Way | 2016 | https://www.youtube.com/results?search_query=My+Way+Calvin+Harris
Sleepy Hallow | I Get Luv | I Get Luv | 2019 | https://www.youtube.com/results?search_query=I+Get+Luv+Sleepy+Hallow
bbno$, Rich Brian | edamame | edamame | 2021 | https://www.youtube.com/results?search_query=edamame+bbno%24%2C+Rich+Brian
Ski Mask The Slump God | So High | STOKELEY | 2018 | https://www.youtube.com/results?search_query=So+High+Ski+Mask+The+Slump+God
Ski Mask The Slump God, Juice WRLD | Nuketown (feat. Juice WRLD) | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Nuketown+%28feat.+Juice+WRLD%29+Ski+Mask+The+Slump+God%2C+Juice+WRLD
Ski Mask The Slump God | Foot Fungus | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Foot+Fungus+Ski+Mask+The+Slump+God
Ski Mask The Slump God | LA LA | STOKELEY | 2018 | https://www.youtube.com/results?search_query=LA+LA+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Unbothered | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Unbothered+Ski+Mask+The+Slump+God
Ski Mask The Slump God, Austin Lam | Save Me Pt 2 (feat. Austin Lam) | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Save+Me+Pt+2+%28feat.+Austin+Lam%29+Ski+Mask+The+Slump+God%2C+Austin+Lam
Ski Mask The Slump God | Adults Swim | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Adults+Swim+Ski+Mask+The+Slump+God
Ski Mask The Slump God, Lil Baby | Far Gone (feat. Lil Baby) | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Far+Gone+%28feat.+Lil+Baby%29+Ski+Mask+The+Slump+God%2C+Lil+Baby
Ski Mask The Slump God | Get Geeked | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Get+Geeked+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Reborn To Rebel | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Reborn+To+Rebel+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Faucet Failure | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Faucet+Failure+Ski+Mask+The+Slump+God
Ski Mask The Slump God | U and I | STOKELEY | 2018 | https://www.youtube.com/results?search_query=U+and+I+Ski+Mask+The+Slump+God
Ski Mask The Slump God, Lil Yachty | Cat Piss (feat. Lil Yachty) | STOKELEY | 2018 | https://www.youtube.com/results?search_query=Cat+Piss+%28feat.+Lil+Yachty%29+Ski+Mask+The+Slump+God%2C+Lil+Yachty
Ski Mask The Slump God | Intro | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=Intro+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Dr. Suess | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=Dr.+Suess+Ski+Mask+The+Slump+God
Ski Mask The Slump God | ADMIT IT | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=ADMIT+IT+Ski+Mask+The+Slump+God
Ski Mask The Slump God | The Matrix | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=The+Matrix+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Ya! | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=Ya%21+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Merlin’s Staff | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=Merlin%27s+Staff+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Lost In Time | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=Lost+In+Time+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Fire Hazard | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=Fire+Hazard+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Mental Magneto | Sin City The Mixtape | 2021 | https://www.youtube.com/results?search_query=Mental+Magneto+Ski+Mask+The+Slump+God
Ski Mask The Slump God | Catch Me Outside | You Will Regret (Reloaded) | 2018 | https://www.youtube.com/results?search_query=Catch+Me+Outside+Ski+Mask+The+Slump+God
Ski Mask The Slump God, XXXTENTACION | Take A Step Back | You Will Regret (Reloaded) | 2018 | https://www.youtube.com/results?search_query=Take+A+Step+Back+Ski+Mask+The+Slump+God%2C+XXXTENTACION
Ski Mask The Slump God | WTF!? | You Will Regret (Reloaded) | 2018 | https://www.youtube.com/results?search_query=WTF%21%3F+Ski+Mask+The+Slump+God
